n_train_apps,combo_idx,train_apps,bottleneck_type,threshold_used,cv_enabled,f1,false_alarm_rate,miss_rate,tp,fp,fn,tn
2,28,"['48291', '48308']",COMPUTE_UNDERUTILIZATION,0.5,False,0.4585365853658536,0.0108695652173913,0.7006369426751592,47,1,110,91
2,28,"['48291', '48308']",CACHE_PRESSURE,0.5,False,0.3865546218487395,0.0670731707317073,0.7294117647058823,23,11,62,153
2,29,"['48274', '48278']",PIPELINE_STALL,0.5,False,0.169811320754717,0.1067415730337078,0.8846153846153846,9,19,69,159
2,29,"['48274', '48278']",COMPUTE_UNDERUTILIZATION,0.5,False,0.7389162561576355,1.0,0.0,150,106,0,0
2,29,"['48274', '48278']",PRECISION_WASTE,0.5,False,0.8632218844984804,0.0,0.2406417112299465,142,0,45,69
2,29,"['48274', '48278']",CACHE_PRESSURE,0.5,False,0.0864197530864197,0.360759493670886,0.9285714285714286,7,57,91,101
2,29,"['48274', '48278']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.2656826568265683,0.8346456692913385,0.7209302325581395,36,106,93,21
2,30,"['48267', '48270']",PIPELINE_STALL,0.5,False,0.4727272727272727,0.0,0.6904761904761905,26,0,58,171
2,30,"['48267', '48270']",BRANCH_MISPREDICTION,0.5,False,0.5981308411214953,0.0374331550802139,0.5294117647058824,32,7,36,180
2,30,"['48267', '48270']",CACHE_PRESSURE,0.5,False,0.2480620155038759,0.1597633136094674,0.813953488372093,16,27,70,142
2,30,"['48267', '48270']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.6529411764705882,0.7952755905511811,0.1328125,111,101,17,26
2,31,"['48270', '48278']",PIPELINE_STALL,0.5,False,0.4173228346456693,0.6914285714285714,0.3375,53,121,27,54
2,31,"['48270', '48278']",COMPUTE_UNDERUTILIZATION,0.5,False,0.7773584905660377,0.0,0.3641975308641975,103,0,59,93
2,31,"['48270', '48278']",PRECISION_WASTE,0.5,False,0.9456521739130436,0.1159420289855072,0.064516129032258,174,8,12,61
2,31,"['48270', '48278']",BRANCH_MISPREDICTION,0.5,False,0.9545454545454544,0.0053475935828877,0.0735294117647058,63,1,5,186
2,31,"['48270', '48278']",CACHE_PRESSURE,0.5,False,0.6642599277978339,0.554140127388535,0.0612244897959183,92,87,6,70
2,31,"['48270', '48278']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.4709677419354838,0.8582677165354331,0.4296875,73,109,55,18
2,32,"['48304', '48283']",PIPELINE_STALL,0.5,False,0.064516129032258,0.0,0.9666666666666668,3,0,87,160
2,32,"['48304', '48283']",COMPUTE_UNDERUTILIZATION,0.5,False,0.727735368956743,1.0,0.0,143,107,0,0
2,32,"['48304', '48283']",PRECISION_WASTE,0.5,False,0.9373297002724796,0.1666666666666666,0.0652173913043478,172,11,12,55
2,32,"['48304', '48283']",CACHE_PRESSURE,0.5,False,0.7142857142857143,0.3764705882352941,0.0,80,64,0,106
2,32,"['48304', '48283']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.0891719745222929,0.1935483870967742,0.9444444444444444,7,24,119,100
2,33,"['48276', '48307']",PIPELINE_STALL,0.5,False,0.7681159420289855,0.0,0.3764705882352941,53,0,32,165
2,33,"['48276', '48307']",BRANCH_MISPREDICTION,0.5,False,0.8764044943820225,0.0,0.22,39,0,11,200
2,33,"['48276', '48307']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.6149584487534626,1.0,0.0,111,139,0,0
2,34,"['48293', '48284']",COMPUTE_UNDERUTILIZATION,0.5,False,0.4788732394366197,0.0326086956521739,0.6792452830188679,51,3,108,89
2,34,"['48293', '48284']",PRECISION_WASTE,0.5,False,0.9149560117302052,0.0149253731343283,0.1521739130434782,156,1,28,66
2,34,"['48293', '48284']",BRANCH_MISPREDICTION,0.5,False,0.2456140350877193,0.2094240837696335,0.7666666666666667,14,40,46,151
