n_train_apps,combo_idx,train_apps,bottleneck_type,threshold_used,cv_enabled,f1,false_alarm_rate,miss_rate,tp,fp,fn,tn
2,18,"['48307', '48304']",PIPELINE_STALL,0.5,False,0.2653061224489796,0.0,0.8470588235294118,13,0,72,166
2,18,"['48307', '48304']",BRANCH_MISPREDICTION,0.5,False,0.592964824120603,0.421875,0.0,59,81,0,111
2,18,"['48307', '48304']",CACHE_PRESSURE,0.5,False,0.7171717171717171,0.253012048192771,0.1647058823529411,71,42,14,124
2,18,"['48307', '48304']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.8345864661654137,0.232,0.119047619047619,111,29,15,96
2,19,"['48293', '48295']",COMPUTE_UNDERUTILIZATION,0.5,False,0.3298969072164948,0.0108695652173913,0.8012422360248447,32,1,129,91
2,19,"['48293', '48295']",PRECISION_WASTE,0.5,False,0.4137931034482758,0.0,0.7391304347826086,48,0,136,69
2,19,"['48293', '48295']",CACHE_PRESSURE,0.5,False,0.6534653465346535,0.3463687150837989,0.1081081081081081,66,62,8,117
2,19,"['48293', '48295']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.0410958904109589,0.1338582677165354,0.9761904761904762,3,17,123,110
2,20,"['48283', '48284']",PIPELINE_STALL,0.5,False,0.0434782608695652,0.0,0.9777777777777776,2,0,88,161
2,20,"['48283', '48284']",COMPUTE_UNDERUTILIZATION,0.5,False,0.7351351351351352,0.8411214953271028,0.0555555555555555,136,90,8,17
2,20,"['48283', '48284']",BRANCH_MISPREDICTION,0.5,False,0.7407407407407407,0.2198952879581152,0.0,60,42,0,149
2,20,"['48283', '48284']",CACHE_PRESSURE,0.5,False,0.8355555555555555,0.2356687898089172,0.0,94,37,0,120
2,20,"['48283', '48284']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.6170798898071626,1.0,0.0,112,139,0,0
2,21,"['48290', '48284']",PIPELINE_STALL,0.5,False,0.3534482758620689,0.630057803468208,0.5,41,109,41,64
2,21,"['48290', '48284']",COMPUTE_UNDERUTILIZATION,0.5,False,0.6842105263157894,0.1666666666666666,0.4276729559748428,91,16,68,80
2,21,"['48290', '48284']",PRECISION_WASTE,0.5,False,0.7537091988130564,0.3382352941176471,0.320855614973262,127,23,60,45
2,21,"['48290', '48284']",BRANCH_MISPREDICTION,0.5,False,0.7185628742514969,0.241025641025641,0.0,60,47,0,148
2,21,"['48290', '48284']",CACHE_PRESSURE,0.5,False,0.6835443037974683,0.4107142857142857,0.0689655172413793,81,69,6,99
2,21,"['48290', '48284']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.7692307692307693,0.1328125,0.2913385826771653,90,17,37,111
2,22,"['48270', '48308']",PIPELINE_STALL,0.5,False,0.576271186440678,0.0,0.5952380952380952,34,0,50,168
2,22,"['48270', '48308']",COMPUTE_UNDERUTILIZATION,0.5,False,0.4776119402985074,0.4947368421052631,0.5923566878980892,64,47,93,48
2,22,"['48270', '48308']",BRANCH_MISPREDICTION,0.5,False,0.8103448275862069,0.0054347826086956,0.3088235294117647,47,1,21,183
2,22,"['48270', '48308']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.6788321167883211,0.4274193548387097,0.2734375,93,53,35,71
2,23,"['48295', '48283']",PIPELINE_STALL,0.5,False,0.0434782608695652,0.0,0.9777777777777776,2,0,88,163
2,23,"['48295', '48283']",COMPUTE_UNDERUTILIZATION,0.5,False,0.731829573934837,1.0,0.0,146,107,0,0
2,23,"['48295', '48283']",CACHE_PRESSURE,0.5,False,0.8097560975609756,0.2294117647058823,0.0,83,39,0,131
2,23,"['48295', '48283']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.8424908424908424,0.2519685039370078,0.0873015873015873,115,32,11,95
2,24,"['48305', '48308']",COMPUTE_UNDERUTILIZATION,0.5,False,0.6422764227642277,0.1041666666666666,0.4968152866242038,79,10,78,86
2,24,"['48305', '48308']",CACHE_PRESSURE,0.5,False,0.68,0.0128205128205128,0.4742268041237113,51,2,46,154
2,25,"['48278', '48305']",PIPELINE_STALL,0.5,False,,0.0,1.0,0,0,90,166
2,25,"['48278', '48305']",COMPUTE_UNDERUTILIZATION,0.5,False,0.7091633466135459,0.0,0.4506172839506173,89,0,73,94
2,25,"['48278', '48305']",PRECISION_WASTE,0.5,False,0.941798941798942,0.1884057971014492,0.0481283422459893,178,13,9,56
2,25,"['48278', '48305']",CACHE_PRESSURE,0.5,False,0.697986577181208,0.00625,0.4583333333333333,52,1,44,159
2,26,"['48273', '48278']",PIPELINE_STALL,0.5,False,0.4620938628158845,0.7696629213483146,0.1578947368421052,64,137,12,41
2,26,"['48273', '48278']",COMPUTE_UNDERUTILIZATION,0.5,False,0.7916666666666666,0.2452830188679245,0.2297297297297297,114,26,34,80
2,26,"['48273', '48278']",BRANCH_MISPREDICTION,0.5,False,0.6896551724137931,0.2783505154639175,0.0,60,54,0,140
2,26,"['48273', '48278']",CACHE_PRESSURE,0.5,False,,0.0,1.0,0,0,98,156
2,26,"['48273', '48278']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.8049792531120331,0.1338582677165354,0.2362204724409448,97,17,30,110
2,27,"['48289', '48291']",PIPELINE_STALL,0.5,False,0.2298850574712643,0.4722222222222222,0.7101449275362319,20,85,49,95
2,27,"['48289', '48291']",COMPUTE_UNDERUTILIZATION,0.5,False,0.7163120567375887,0.1707317073170731,0.3952095808383233,101,14,66,68
2,27,"['48289', '48291']",CACHE_PRESSURE,0.5,False,0.7555555555555555,0.2080924855491329,0.1052631578947368,68,36,8,137
