metric,job_id,n_intervals,n_windows,mean,std,min,max
l3_miss_ratio,43298,82,9,0.14112519945780028,0.018024373097888933,0.12172643702031652,0.183370150106218
l3_miss_ratio,43290,168,17,0.5471171811041294,0.031423782850596264,0.4772504533308801,0.5865274774158625
l3_miss_ratio,43272,111,12,0.9535398823937068,0.07883337535648881,0.6921752028205324,0.9808624290018539
l3_miss_ratio,43260,14,2,0.39924301101523674,0.018510043697391593,0.3807329673178452,0.41775305471262836
l3_miss_ratio,43236,186,19,0.2364999817264411,0.25826405630774063,0.10649641887035351,0.9849031538589001
l3_miss_ratio,43195,1443,145,0.19540859736185492,0.04624658882896989,0.11763489749247784,0.3633194051421856
l3_miss_ratio,43141,93,10,0.06014029327945852,0.07970504597590604,0.017295771289141268,0.2963076429284552
l3_miss_ratio,43129,8,1,0.7081526147931809,0.0,0.7081526147931809,0.7081526147931809
l3_miss_ratio,43118,37,4,0.7689961400022804,0.043001966442059184,0.6983839972250407,0.8044709214309227
cpi,43325,62,7,8.335226906277388,1.9863465458634844,6.326398306246211,12.884288688411623
cpi,43319,12,2,9.193824427128831,0.05275520290823632,9.141069224220596,9.246579630037068
cpi,43298,82,9,4.8355878574795295,0.5092403204944209,4.160798387915572,5.956437254128095
cpi,43290,168,17,7.359333930687633,0.16384978102684175,7.027081605346263,7.660227207003483
cpi,43272,111,12,21.710751251683558,1.925363372682884,17.882686406990445,26.477945534960156
cpi,43260,14,2,10.143382034349045,1.3847930056480307,8.758589028701016,11.528175039997077
cpi,43236,186,19,4.9679048288675824,5.871559889169847,1.782389100943752,23.30325899292513
cpi,43195,1443,145,10.349597393485306,1.6851336368621999,7.228751427669486,16.35160164810953
cpi,43141,93,10,3.6259389342923134,2.16333231240019,1.6758127062166692,8.134643562097201
cpi,43129,8,1,10.02882214100151,0.0,10.02882214100151,10.02882214100151
cpi,43118,37,4,18.799249243469554,0.8290355783822083,17.98995279039976,20.121094367442993
sp_plus_dp,43325,62,7,0.09158373673668704,0.017865307588445987,0.05131702822523855,0.10202514496544063
sp_plus_dp,43319,12,2,0.0017382111876602803,0.0004959696412658494,0.0012422415463944308,0.0022341808289261297
sp_plus_dp,43298,82,9,0.00039627790518645325,2.0680700633052472e-05,0.00034100329309502935,0.0004070075770535543
sp_plus_dp,43290,168,17,0.008246746589411045,0.00036636296964642404,0.007129530345231179,0.008628906318967152
sp_plus_dp,43272,111,12,0.14080418615411947,0.007208882264904351,0.11968333507772959,0.14844451988198837
sp_plus_dp,43260,14,2,0.004011350319955616,0.0003506136153561897,0.003660736704599427,0.004361963935311806
sp_plus_dp,43236,186,19,0.009044184590080839,0.024992941957331635,1.504147860589771e-05,0.08202809280527067
sp_plus_dp,43195,1443,145,4.1951978571068724e-11,3.237202443499699e-10,0.0,3.804802921660219e-09
sp_plus_dp,43141,93,10,9.459942493883897e-14,1.4450920412255937e-13,0.0,3.1768177674348315e-13
sp_plus_dp,43129,8,1,0.1139063278019911,0.0,0.1139063278019911,0.1139063278019911
sp_plus_dp,43118,37,4,0.010760016669328677,0.0007070880689067243,0.009892012760069655,0.01153531043146041
sp_plus_dp_2,43325,62,7,0.09158373673668704,0.017865307588445987,0.05131702822523855,0.10202514496544063
sp_plus_dp_2,43319,12,2,0.0017382111876602803,0.0004959696412658494,0.0012422415463944308,0.0022341808289261297
sp_plus_dp_2,43298,82,9,0.00039627790518645325,2.0680700633052472e-05,0.00034100329309502935,0.0004070075770535543
sp_plus_dp_2,43290,168,17,0.008246746589411045,0.00036636296964642404,0.007129530345231179,0.008628906318967152
sp_plus_dp_2,43272,111,12,0.14080418615411947,0.007208882264904351,0.11968333507772959,0.14844451988198837
sp_plus_dp_2,43260,14,2,0.004011350319955616,0.0003506136153561897,0.003660736704599427,0.004361963935311806
sp_plus_dp_2,43236,186,19,0.009044184590080839,0.024992941957331635,1.504147860589771e-05,0.08202809280527067
sp_plus_dp_2,43195,1443,145,4.1951978571068724e-11,3.237202443499699e-10,0.0,3.804802921660219e-09
sp_plus_dp_2,43141,93,10,9.459942493883897e-14,1.4450920412255937e-13,0.0,3.1768177674348315e-13
sp_plus_dp_2,43129,8,1,0.1139063278019911,0.0,0.1139063278019911,0.1139063278019911
sp_plus_dp_2,43118,37,4,0.010760016669328677,0.0007070880689067243,0.009892012760069655,0.01153531043146041
sp_per_dp,43325,62,7,0.0,0.0,0.0,0.0
sp_per_dp,43319,12,2,0.005118711841380488,0.00027893035883332605,0.0048397814825471615,0.005397642200213814
sp_per_dp,43298,82,9,0.0,0.0,0.0,0.0
sp_per_dp,43290,168,17,0.0,0.0,0.0,0.0
sp_per_dp,43272,111,12,0.0,0.0,0.0,0.0
sp_per_dp,43260,14,2,0.0,0.0,0.0,0.0
sp_per_dp,43236,186,19,9.898408167122827e-10,4.199538922754913e-09,0.0,1.880697551753337e-08
sp_per_dp,43195,1443,30,0.0,0.0,0.0,0.0
sp_per_dp,43141,93,3,0.0,0.0,0.0,0.0
sp_per_dp,43129,8,1,0.0,0.0,0.0,0.0
sp_per_dp,43118,37,4,0.0,0.0,0.0,0.0
avx_dp_plus_avx_sp_plus_packed_sp_plus_packed_dp_per_dp_plus_sp,43325,62,7,0.4710382039749369,0.08948276832576905,0.25751547491731763,0.5173222723659416
avx_dp_plus_avx_sp_plus_packed_sp_plus_packed_dp_per_dp_plus_sp,43319,12,2,0.1567142949266443,0.008560925408377704,0.14815336951826658,0.16527522033502198
avx_dp_plus_avx_sp_plus_packed_sp_plus_packed_dp_per_dp_plus_sp,43298,82,9,0.0,0.0,0.0,0.0
avx_dp_plus_avx_sp_plus_packed_sp_plus_packed_dp_per_dp_plus_sp,43290,168,17,1.2240798373316633,0.02605022030415606,1.1764177113699774,1.2499551832585432
avx_dp_plus_avx_sp_plus_packed_sp_plus_packed_dp_per_dp_plus_sp,43272,111,12,0.2547168645207836,0.010540238979322972,0.23679646752272462,0.27891735809668655
avx_dp_plus_avx_sp_plus_packed_sp_plus_packed_dp_per_dp_plus_sp,43260,14,2,0.06082756125036534,0.00465374813677474,0.056173813113590605,0.06548130938714009
avx_dp_plus_avx_sp_plus_packed_sp_plus_packed_dp_per_dp_plus_sp,43236,186,19,0.1155473431809845,0.31975512324929306,0.0,1.0463868213914036
avx_dp_plus_avx_sp_plus_packed_sp_plus_packed_dp_per_dp_plus_sp,43195,1443,32,0.0,0.0,0.0,0.0
avx_dp_plus_avx_sp_plus_packed_sp_plus_packed_dp_per_dp_plus_sp,43141,93,3,0.0,0.0,0.0,0.0
avx_dp_plus_avx_sp_plus_packed_sp_plus_packed_dp_per_dp_plus_sp,43129,8,1,0.24450293374787488,0.0,0.24450293374787488,0.24450293374787488
avx_dp_plus_avx_sp_plus_packed_sp_plus_packed_dp_per_dp_plus_sp,43118,37,4,0.11596031380278266,0.007401549327111898,0.10532441534517725,0.1242987019981443
avx_sp_plus_avx_dp_per_packed_sp_plus_packed_dp,43325,62,7,3.856857310521827,0.0002715895328218317,3.8565925138478954,3.857379363021434
avx_sp_plus_avx_dp_per_packed_sp_plus_packed_dp,43319,12,2,0.0,0.0,0.0,0.0
avx_sp_plus_avx_dp_per_packed_sp_plus_packed_dp,43290,168,17,3.9999999976327993,5.115284611113534e-09,3.9999999862980546,4.0
avx_sp_plus_avx_dp_per_packed_sp_plus_packed_dp,43272,111,12,3.6230158515121116,0.013862646118277073,3.6024525619750323,3.6609509608568547
avx_sp_plus_avx_dp_per_packed_sp_plus_packed_dp,43260,14,2,0.0,0.0,0.0,0.0
avx_sp_plus_avx_dp_per_packed_sp_plus_packed_dp,43236,186,3,4.0,0.0,4.0,4.0
avx_sp_plus_avx_dp_per_packed_sp_plus_packed_dp,43129,8,1,3.816386947520786,0.0,3.816386947520786,3.816386947520786
avx_sp_plus_avx_dp_per_packed_sp_plus_packed_dp,43118,37,4,0.10530426890115835,0.017776828519806106,0.08829927814515214,0.13464982388682084
stall_rate,43325,62,7,70.67902935635502,0.38191385012126255,70.28916775118759,71.5450493038074
stall_rate,43319,12,2,88.21968845526493,0.6145217204880069,87.60516673477693,88.83421017575294
stall_rate,43298,82,9,78.44767905071977,0.9657274669942609,76.31765442007283,79.55065521061812
stall_rate,43290,168,17,85.7654657201829,0.46720054362521635,84.52720092926981,86.42777322048039
stall_rate,43272,111,12,79.97686966786627,0.4658100632667038,79.38600049550851,80.83463422634095
stall_rate,43260,14,2,78.2030613483025,0.32893732767552564,77.87412402062698,78.53199867597803
stall_rate,43236,186,19,67.09247359748993,7.672133103806218,63.693303542414284,89.08526666542272
stall_rate,43195,1443,145,84.55249306300465,1.64395715637669,82.37030566845165,89.57758574936757
