fs_variant,outer_fold,bottleneck_type,n_windows,n_positive,n_negative,n_features,feature_fraction,avg_features_all_types,train_time_s,tp,fp,fn,tn,f1,false_alarm_rate,miss_rate
imp_only,1,BRANCH_MISPREDICTION,69,15,54,554,0.3010869565217391,469.1666666666667,21.067919731140137,15,0,0,54,1.0,0.0,0.0
imp_only,1,CACHE_PRESSURE,69,20,49,330,0.1793478260869565,469.1666666666667,21.067919731140137,15,21,5,28,0.5357142857142857,0.42857142857142855,0.25
imp_only,1,INTRA_NODE_LOAD_IMBALANCE,69,30,39,311,0.16902173913043478,469.1666666666667,21.067919731140137,30,8,0,31,0.8823529411764706,0.20512820512820512,0.0
imp_only,2,PIPELINE_STALL,76,14,62,873,0.47445652173913044,489.1666666666667,21.612001419067383,12,22,2,40,0.5,0.3548387096774194,0.14285714285714285
imp_only,2,COMPUTE_UNDERUTILIZATION,76,60,16,540,0.29347826086956524,489.1666666666667,21.612001419067383,60,2,0,14,0.9836065573770492,0.125,0.0
imp_only,2,PRECISION_WASTE,76,47,29,327,0.17771739130434783,489.1666666666667,21.612001419067383,47,28,0,1,0.7704918032786886,0.9655172413793104,0.0
imp_only,2,BRANCH_MISPREDICTION,76,37,39,257,0.13967391304347826,489.1666666666667,21.612001419067383,37,7,0,32,0.9135802469135803,0.1794871794871795,0.0
imp_only,2,CACHE_PRESSURE,76,14,62,629,0.3418478260869565,489.1666666666667,21.612001419067383,14,0,0,62,1.0,0.0,0.0
imp_only,2,INTRA_NODE_LOAD_IMBALANCE,76,58,18,309,0.16793478260869565,489.1666666666667,21.612001419067383,43,17,15,1,0.728813559322034,0.9444444444444444,0.25862068965517243
imp_only,3,PIPELINE_STALL,64,38,26,803,0.4364130434782609,496.6666666666667,20.511765003204346,38,3,0,23,0.9620253164556963,0.11538461538461539,0.0
imp_only,3,COMPUTE_UNDERUTILIZATION,64,39,25,519,0.28206521739130436,496.6666666666667,20.511765003204346,39,13,0,12,0.8571428571428571,0.52,0.0
imp_only,3,PRECISION_WASTE,64,52,12,250,0.1358695652173913,496.6666666666667,20.511765003204346,52,12,0,0,0.896551724137931,1.0,0.0
