fold,app,bottleneck_type,n_windows,n_positive,n_negative,n_features,tp,fp,fn,tn,f1,false_alarm_rate,miss_rate,mcc,roc_auc,pr_auc
19,48284,PIPELINE_STALL,14,0,14,143,0,13,0,1,,0.9285714285714286,,,,
19,48284,COMPUTE_UNDERUTILIZATION,14,14,0,426,14,0,0,0,1.0,,0.0,,,
19,48284,PRECISION_WASTE,14,0,14,261,0,0,0,14,,0.0,,,,
19,48284,BRANCH_MISPREDICTION,14,14,0,395,14,0,0,0,1.0,,0.0,,,
19,48284,CACHE_PRESSURE,14,0,14,457,0,0,0,14,,0.0,,,,
19,48284,INTRA_NODE_LOAD_IMBALANCE,14,14,0,360,14,0,0,0,1.0,,0.0,,,
20,48303,PIPELINE_STALL,11,4,7,121,4,0,0,7,1.0,0.0,0.0,1.0,1.0,1.0
20,48303,COMPUTE_UNDERUTILIZATION,11,11,0,443,11,0,0,0,1.0,,0.0,,,
20,48303,PRECISION_WASTE,11,0,11,228,0,6,0,5,,0.5454545454545454,,,,
20,48303,BRANCH_MISPREDICTION,11,0,11,389,0,0,0,11,,0.0,,,,
20,48303,CACHE_PRESSURE,11,4,7,438,4,0,0,7,1.0,0.0,0.0,1.0,1.0,1.0
20,48303,INTRA_NODE_LOAD_IMBALANCE,11,6,5,389,6,0,0,5,1.0,0.0,0.0,1.0,1.0,1.0
